stock,stock_name,year,generated_at,q1_A,q1_S,q1_G,q1_I,q1_M,q1_F,q1_X,q1_D,q2_A,q2_S,q2_G,q2_I,q2_M,q2_F,q2_X,q2_D,q3_A,q3_S,q3_G,q3_I,q3_M,q3_F,q3_X,q3_D,q4_A,q4_S,q4_G,q4_I,q4_M,q4_F,q4_X,q4_D
3661,世芯-KY,2026,2026-09-25T03:32:28.074244+00:00,,,,[I](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/3661/3661_2026_q1_ir_en.pdf),[M](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/3661/3661_2026_q1_ir_en.md),,,,[A](https://github.com/wenchiehlee-money/InvestorConference/releases/download/audio-files/3661_2026_q2.m4a),[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/3661/3661_2026_q2_FIN.srt),,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/3661/202602_3661_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/3661/202602_3661_AI1.md),,,,,,,,,,,,,,,,,
9917,中保科,2026,2026-09-25T03:32:28.074244+00:00,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/9917/202601_9917_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/9917/202601_9917_AI1.md),,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/9917/202602_9917_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/9917/202602_9917_AI1.md),,,,,,,,,,,,,,,,,
9917,中保科,2025,2026-09-25T03:32:28.074244+00:00,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/9917/202501_9917_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/9917/202501_9917_AI1.md),,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/9917/202502_9917_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/9917/202502_9917_AI1.md),,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/9917/202503_9917_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/9917/202503_9917_AI1.md),,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/9917/202504_9917_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/9917/202504_9917_AI1.md),
2891,中信金,2026,2026-09-25T03:32:28.074244+00:00,,,,[I](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2891/2891_2026_q1_ir_en.pdf),[M](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2891/2891_2026_q1_ir_en.md),,,,[A](https://github.com/wenchiehlee-money/InvestorConference/releases/download/audio-files/2891_2026_q2.m4a),[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2891/2891_2026_q2_FIN.srt),,,,,,,,,,,,,,,,,,,,,,
7765,中華資安,2026,2026-09-25T03:32:28.074244+00:00,,[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/7765/7765_2026_q1_FIN.srt),[G](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/7765/7765_2026_q1_GT.srt),[I](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/7765/7765_2026_q1_ir_en.pdf),[M](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/7765/7765_2026_q1_ir_en.md),,,,[A](https://github.com/wenchiehlee-money/InvestorConference/releases/download/audio-files/7765_2026_q2.m4a),[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/7765/7765_2026_q2_FIN.srt),,[I](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/7765/7765_2026_q2_ir_en.pdf),[M](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/7765/7765_2026_q2_ir_en.md),,,,,,,,,,,,,,,,,,,
7765,中華資安,2025,2026-09-25T03:32:28.074244+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/7765/7765_2025_q4_FIN.srt),,[I](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/7765/7765_2025_q4_ir_en.pdf),[M](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/7765/7765_2025_q4_ir_en.md),,,
2412,中華電,2026,2026-09-25T03:32:28.074244+00:00,[A](https://github.com/wenchiehlee-money/InvestorConference/releases/download/audio-files/2412_2026_q1.mp3),[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2412/2412_2026_q1_FIN.srt),[G](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2412/2412_2026_q1_GT.srt),[I](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2412/2412_2026_q1_ir_en.pdf),[M](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2412/2412_2026_q1_ir_en.md),[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202601_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202601_2412_AI1.md),[D](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/reports/conference-digests/2412/2412_2026_q1_digest.md),[A](https://github.com/wenchiehlee-money/InvestorConference/releases/download/audio-files/2412_2026_q2.mp3),[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2412/2412_2026_q2_FIN.srt),[G](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2412/2412_2026_q2_GT.srt),[I](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2412/2412_2026_q2_ir_en.pdf),[M](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2412/2412_2026_q2_ir_en.md),[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202602_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202602_2412_AI1.md),[D](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/reports/conference-digests/2412/2412_2026_q2_digest.md),,,,,,,,,,,,,,,,
2412,中華電,2025,2026-09-25T03:32:28.074244+00:00,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202501_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202501_2412_AI1.md),,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202502_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202502_2412_AI1.md),,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202503_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202503_2412_AI1.md),,[A](https://github.com/wenchiehlee-money/InvestorConference/releases/download/audio-files/2412_2025_q4.m4a),[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2412/2412_2025_q4_FIN.srt),[G](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2412/2412_2025_q4_GT.srt),[I](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2412/2412_2025_q4_ir_en.pdf),[M](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/2412/2412_2025_q4_ir_en.md),[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202504_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202504_2412_AI1.md),[D](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/reports/conference-digests/2412/2412_2025_q4_digest.md)
2412,中華電,2024,2026-09-25T03:32:28.074244+00:00,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202401_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202401_2412_AI1.md),,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202402_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202402_2412_AI1.md),,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202403_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202403_2412_AI1.md),,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202404_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202404_2412_AI1.md),
2412,中華電,2023,2026-09-25T03:32:28.074244+00:00,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202301_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202301_2412_AI1.md),,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202302_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202302_2412_AI1.md),,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202303_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202303_2412_AI1.md),,,,,,,[F](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202304_2412_AI1.pdf),[X](https://github.com/wenchiehlee-investment/MOPS/blob/main/downloads/2412/202304_2412_AI1.md),
